SMILE,IP,EA,HomoLumoGap
C(=O)C(=O)C(=N)N,0.338771341,0.019455544,-0.319315797
C(C(=O)O)ON=C=O,0.355975886,-0.041400027,-0.397375913
C(#N)N(C#N)C(O)O,0.376237679,-0.050779698,-0.427017377
C(#N)C(=NO)C(=O)C#N,0.410119659,0.059839872,-0.350279787
CC(=C)NC#N,0.313558008,-0.092300445,-0.405858453
C(=C=C=O)C=N,0.337898069,0.041487742,-0.296410327
C=NNCN,0.303639259,-0.098878994,-0.402518253
C(N)OC=N,0.340572564,-0.11732715,-0.457899714
C=CC(=C)N=N,0.326760076,-0.015944115,-0.342704191
C=C(NN=C)O,0.276185467,-0.069994435,-0.346179902
NNOO,0.374078456,-0.104953583,-0.479032039
CN(C=N)N,0.308150656,-0.126207597,-0.434358253
C=C(CO)OO,0.328917725,-0.096937741,-0.425855466
COC(=O)ON=C,0.379005885,-0.064105041,-0.443110926
CN(N)N=C,0.311034888,-0.100678646,-0.411713534
CC=NC=N,0.336228057,-0.065581693,-0.40180975
C(=C(N=C=O)N=C=O)N=C=O,0.310229188,-0.015081628,-0.325310816
C(=C(C#N)N)C(=O)O,0.331585399,-0.010927578,-0.342512977
C=NC(C(=O)O)O,0.358469453,-0.056618915,-0.415088368
C(=O)N(C=O)N=C=O,0.360799778,-0.016241693,-0.377041471
CNC#CO,0.288597695,-0.133946038,-0.422543733
C(=O)OC(=O)OO,0.399850639,-0.038230294,-0.438080933
C(=O)C(C(=O)O)N=C=O,0.361502452,-0.020056141,-0.381558593
C(NC#CO)O,0.302968392,-0.127109537,-0.430077929
C(#N)C(=N)C(=O)OO,0.41880527,0.041873338,-0.376931932
C=NC(=N)N(C#N)C#N,0.372428395,0.011571393,-0.360857002
C(=O)(O)OOONN,0.355470571,-0.008902856,-0.364373427
CON(N)[N+](=O)[O-],0.359884243,-0.034154947,-0.39403919
C(#N)C(=N)N=[N+]=[N-],0.386708985,0.004451045,-0.38225794
C(#N)C(N)O[N+](=O)[O-],0.399336106,-0.01684372,-0.416179826
C(=CN)C(=O)ON=O,0.312876183,-0.0068584,-0.319734583
C(NON=O)ON=O,0.352711041,0.011296121,-0.34141492
C(N=O)(O)O,0.361128202,0.001768445,-0.359359757
C(=NNC(=O)NN)=O,0.316663487,-0.083618361,-0.400281848
C(=O)(C(=O)OO)N,0.374789872,-0.020239855,-0.395029727
C(=NC(=O)OOC(=O)N)=O,0.381477137,-0.047856247,-0.429333384
C(NN=[N+]=[N-])N=[N+]=[N-],0.340881031,-0.025078073,-0.365959104
CC(=C)C(=O)N=O,0.330073297,0.013776261,-0.316297036
C=CC=NC=N,0.331927548,-0.016210068,-0.348137616
C=C(C=N)N,0.295688828,-0.055849552,-0.35153838
CC(=N)OC=N,0.346928768,-0.074279034,-0.421207802
C(=N)C(=O)NC=O,0.356085924,0.004280762,-0.351805162
C(=O)C(=N)C(=N)N,0.337847627,0.004598393,-0.333249234
CC#CCOO,0.349793586,-0.10318123,-0.452974816
CC(=O)C=NC=O,0.339246429,0.012706457,-0.326539972
CC(=C)C#CO,0.296038613,-0.084059609,-0.380098222
CC#CONC=O,0.334668688,-0.067132481,-0.401801169
C=C(C(=O)C=O)N,0.314762177,0.018790013,-0.295972164
C#CN=CN,0.308351451,-0.079687576,-0.388039027
